id,File,Frequency,lines_modified,fcxflc
452,StreamThread.java,323,14137,4566251
168,KafkaConsumer.java,287,10142,2910754
403,KStream.java,121,18622,2253262
1372,KafkaAdminClient.java,191,10647,2033577
451,StreamTask.java,212,7250,1537000
233,Fetcher.java,195,7834,1527630
760,KafkaStreams.java,201,7232,1453632
1555,TaskManager.java,158,7917,1250886
419,KStreamImpl.java,134,8558,1146772
35,KafkaProducer.java,218,4765,1038770
761,StreamsConfig.java,177,4618,817386
558,ConsumerCoordinator.java,160,4836,773760
46,Sender.java,144,5341,769104
556,AbstractCoordinator.java,148,4792,709216
669,KTableImpl.java,118,5563,656434
666,KTable.java,69,8083,557727
1922,StreamsPartitionAssignor.java,96,5668,544128
179,NetworkClient.java,131,3869,506839
1527,InternalTopologyBuilder.java,93,5109,475137
107,Protocol.java,75,5770,432750
